registration,vote_intention,vote_2020,employment,foreign_born,sex,household_income,education,state,age,agegroup,race
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NC,69,60 to 80,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Male,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",TX,37,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$150,000 to $174,999",Doctorate degree,FL,36,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",TX,40,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Part-time employed,The United States,Female,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",NJ,41,40 to 60,White
Not registered,"Yes, I will vote",Joe Biden,Homemaker,The United States,Female,"$15,000 to $19,999",Completed some high school,CA,30,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"Less than $14,999","Completed some college, but no degree",OR,72,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Homemaker,The United States,Female,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",PA,55,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,80,60 to 80,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$80,000 to $84,999","Completed some college, but no degree",NC,66,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$35,000 to $39,999",Other post high school vocational training,TX,40,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$75,000 to $79,999",Masters degree,VA,31,40 or less,Other Asians and Pacific Islander
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Male,"$95,000 to $99,999",Masters degree,OH,69,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$125,000 to $149,999","Completed some graduate, but no degree",CA,31,40 or less,Chinese
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$85,000 to $89,999",Masters degree,IL,51,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$100,000 to $124,999","Completed some graduate, but no degree",NC,78,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$50,000 to $54,999",Other post high school vocational training,MI,58,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$150,000 to $174,999",Masters degree,CA,19,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Self-employed,The United States,Female,"$65,000 to $69,999","Completed some college, but no degree",MI,41,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Self-employed,The United States,Male,"$30,000 to $34,999",Completed some high school,CT,39,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NC,63,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$45,000 to $49,999",Associate Degree,CT,73,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$40,000 to $44,999",Masters degree,NC,38,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$30,000 to $34,999",Associate Degree,OR,69,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$100,000 to $124,999",Masters degree,IL,61,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$30,000 to $34,999",Masters degree,CA,54,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$150,000 to $174,999",Masters degree,FL,70,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",IA,53,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$100,000 to $124,999",Masters degree,GA,52,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Homemaker,The United States,Female,"$75,000 to $79,999",Masters degree,NY,63,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,Another country,Female,"$25,000 to $29,999",Associate Degree,WA,63,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Homemaker,The United States,Female,"$60,000 to $64,999","Completed some college, but no degree",MI,38,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Permanently disabled,The United States,Female,"$55,000 to $59,999",Other post high school vocational training,OH,45,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Unemployed or temporarily on layoff,The United States,Female,"$45,000 to $49,999",High school graduate,IL,30,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$90,000 to $94,999",High school graduate,MA,66,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,Another country,Female,"$80,000 to $84,999",Masters degree,MO,40,40 or less,Chinese
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$60,000 to $64,999",Masters degree,CO,49,40 to 60,White
Not registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$45,000 to $49,999","Completed some college, but no degree",IL,57,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Female,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",NC,60,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$70,000 to $74,999",Masters degree,NY,68,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$60,000 to $64,999",High school graduate,IN,58,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,33,40 or less,Chinese
Registered,"Yes, I will vote",Donald Trump,Unemployed or temporarily on layoff,The United States,Female,"$250,000 and above","Completed some college, but no degree",FL,26,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$65,000 to $69,999","Completed some college, but no degree",PA,76,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$25,000 to $29,999",Other post high school vocational training,SC,38,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$100,000 to $124,999",Masters degree,IL,53,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$15,000 to $19,999","Completed some college, but no degree",OH,64,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$90,000 to $94,999",Masters degree,NY,49,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Male,"$65,000 to $69,999","Completed some college, but no degree",IA,66,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$125,000 to $149,999",Masters degree,WI,56,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Homemaker,The United States,Female,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,26,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Female,"$30,000 to $34,999",High school graduate,PA,58,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$100,000 to $124,999","Completed some graduate, but no degree",NJ,72,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$60,000 to $64,999",Masters degree,DC,36,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$100,000 to $124,999",Masters degree,PA,70,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$150,000 to $174,999",Masters degree,NY,40,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$150,000 to $174,999",Masters degree,FL,42,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,Another country,Male,"Less than $14,999",Completed some high school,FL,26,40 or less,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,Another country,Male,"Less than $14,999","Completed some college, but no degree",NY,45,40 to 60,Chinese
Registered,"Yes, I will vote",Donald Trump,Homemaker,The United States,Female,"$30,000 to $34,999",Associate Degree,GA,57,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Female,"$90,000 to $94,999","Completed some college, but no degree",IL,55,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$55,000 to $59,999","Completed some college, but no degree",NM,70,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Permanently disabled,The United States,Female,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,55,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Homemaker,Another country,Female,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",CA,46,40 to 60,Chinese
Registered,"Yes, I will vote",Donald Trump,Homemaker,The United States,Female,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",NC,32,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$40,000 to $44,999","Completed some college, but no degree",VA,66,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",MN,35,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Self-employed,The United States,Male,"$25,000 to $29,999",Associate Degree,WI,71,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Homemaker,The United States,Female,"$100,000 to $124,999",Masters degree,PA,37,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$30,000 to $34,999","Completed some college, but no degree",OK,27,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$100,000 to $124,999",Masters degree,IL,61,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$100,000 to $124,999",Masters degree,FL,47,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$55,000 to $59,999",Doctorate degree,TX,45,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",OH,53,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$50,000 to $54,999",Associate Degree,AZ,65,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,50,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$40,000 to $44,999","Completed some college, but no degree",CO,67,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,Another country,Male,"$40,000 to $44,999",Masters degree,PA,55,40 to 60,Other Asians and Pacific Islander
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$40,000 to $44,999","Completed some college, but no degree",OH,48,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$25,000 to $29,999",Associate Degree,HI,68,60 to 80,Japanese
Registered,"Yes, I will vote",Joe Biden,Part-time employed,The United States,Male,"$95,000 to $99,999",Masters degree,CT,57,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$150,000 to $174,999",Masters degree,FL,32,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,The United States,Female,"$60,000 to $64,999",Associate Degree,NJ,67,60 to 80,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,Permanently disabled,The United States,Female,"Less than $14,999",Other post high school vocational training,TX,52,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Male,"$80,000 to $84,999",Associate Degree,TX,73,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Male,"$100,000 to $124,999",Masters degree,MT,81,above 80,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$15,000 to $19,999","Completed some college, but no degree",PA,66,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Male,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",CA,81,above 80,Chinese
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$45,000 to $49,999","Completed some college, but no degree",TN,65,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$30,000 to $34,999","Completed some college, but no degree",NC,62,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$15,000 to $19,999",High school graduate,PA,21,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$75,000 to $79,999",Associate Degree,CT,44,40 to 60,Other race
Registered,"Yes, I will vote",Donald Trump,Homemaker,The United States,Female,"$100,000 to $124,999",Doctorate degree,TN,33,40 or less,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",TN,58,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Part-time employed,The United States,Female,"$100,000 to $124,999","Completed some college, but no degree",IL,60,40 to 60,White
Not registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,The United States,Male,"$55,000 to $59,999","Completed some college, but no degree",CA,28,40 or less,Other race
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"Less than $14,999",High school graduate,CT,40,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Permanently disabled,The United States,Female,"$55,000 to $59,999","Completed some college, but no degree",WI,61,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Student,The United States,Female,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",FL,37,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$15,000 to $19,999","Completed some college, but no degree",VT,67,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Male,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,28,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Homemaker,The United States,Female,"$15,000 to $19,999",High school graduate,KY,28,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$25,000 to $29,999","Completed some college, but no degree",MD,62,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$40,000 to $44,999",Masters degree,MO,68,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$175,000 to $199,999",Masters degree,FL,52,40 to 60,White
Not registered,"Yes, I will vote",Donald Trump,Self-employed,Another country,Female,"Less than $14,999","College Degree (such as B.A., B.S.)",CA,39,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$95,000 to $99,999","Completed some college, but no degree",MT,73,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$15,000 to $19,999",Completed some high school,WI,38,40 or less,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Female,"$50,000 to $54,999","Completed some graduate, but no degree",IL,61,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Other:,The United States,Female,"$150,000 to $174,999","Completed some college, but no degree",MO,63,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$70,000 to $74,999","Completed some college, but no degree",TX,67,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Permanently disabled,The United States,Male,"$20,000 to $24,999","Completed some college, but no degree",TN,52,40 to 60,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Part-time employed,The United States,Female,"$55,000 to $59,999",Associate Degree,UT,25,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,The United States,Male,"$45,000 to $49,999",Associate Degree,MN,44,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",SC,74,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$50,000 to $54,999",Associate Degree,GA,65,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$35,000 to $39,999",Masters degree,CA,39,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Self-employed,The United States,Female,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,50,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Homemaker,The United States,Female,"$70,000 to $74,999",High school graduate,WV,68,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Part-time employed,The United States,Male,"$35,000 to $39,999","Completed some college, but no degree",FL,18,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NE,56,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$15,000 to $19,999",Other post high school vocational training,MI,51,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Permanently disabled,The United States,Female,"$70,000 to $74,999",Associate Degree,AZ,62,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$25,000 to $29,999",High school graduate,TN,73,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Permanently disabled,The United States,Male,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",MA,55,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Female,"$100,000 to $124,999","Completed some college, but no degree",IL,58,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,The United States,Female,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",CA,66,60 to 80,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$30,000 to $34,999",High school graduate,NY,74,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$15,000 to $19,999",High school graduate,CO,33,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",HI,37,40 or less,Japanese
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$175,000 to $199,999",Masters degree,CA,63,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",CA,41,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Female,"$35,000 to $39,999","Completed some college, but no degree",NY,54,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Male,"$45,000 to $49,999","Completed some college, but no degree",DC,41,40 to 60,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$70,000 to $74,999",Masters degree,FL,73,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$175,000 to $199,999",Masters degree,TX,44,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$200,000 to $249,999",Masters degree,NY,44,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Male,"$20,000 to $24,999",Associate Degree,GA,40,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$70,000 to $74,999",High school graduate,NY,23,40 or less,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",OH,32,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Male,"$200,000 to $249,999",Doctorate degree,CO,39,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,Another country,Male,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",NJ,32,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Self-employed,The United States,Male,"$40,000 to $44,999",High school graduate,IL,57,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",MN,32,40 or less,"Black, or African American"
Registered,"Yes, I will vote",Donald Trump,Retired,The United States,Female,"$20,000 to $24,999",High school graduate,MO,54,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$80,000 to $84,999",Masters degree,CA,42,40 to 60,Other race
Registered,"Yes, I will vote",Joe Biden,Student,The United States,Female,"$100,000 to $124,999","Completed some college, but no degree",CA,18,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",PA,56,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$200,000 to $249,999",Doctorate degree,CA,42,40 to 60,White
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Male,"$35,000 to $39,999",Masters degree,AZ,70,60 to 80,White
Not registered,"Yes, I will vote",Donald Trump,Part-time employed,The United States,Male,"Less than $14,999",High school graduate,OH,19,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Unemployed or temporarily on layoff,The United States,Male,"$25,000 to $29,999",Completed some high school,MO,40,40 or less,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Male,"$75,000 to $79,999","Completed some college, but no degree",WI,57,40 to 60,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,40,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Male,"$125,000 to $149,999",Masters degree,PA,38,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",MN,38,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Male,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NH,34,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$35,000 to $39,999",High school graduate,MI,38,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Self-employed,The United States,Female,"Less than $14,999",Completed some high school,CO,21,40 or less,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$175,000 to $199,999",Masters degree,VA,40,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Homemaker,The United States,Female,"Less than $14,999",Completed some high school,MI,45,40 to 60,"Black, or African American"
Registered,"Yes, I will vote",Joe Biden,Student,The United States,Female,"$50,000 to $54,999","Completed some college, but no degree",PA,19,40 or less,Other Asians and Pacific Islander
Registered,"Yes, I will vote",Joe Biden,Retired,The United States,Female,"$100,000 to $124,999",Masters degree,CA,65,60 to 80,White
Registered,"Yes, I will vote",Donald Trump,Full-time employed,The United States,Male,"$250,000 and above","College Degree (such as B.A., B.S.)",KY,40,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Full-time employed,The United States,Female,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NV,37,40 or less,White
Registered,"Yes, I will vote",Joe Biden,Part-time employed,The United States,Male,"$15,000 to $19,999","Completed some college, but no degree",IL,20,40 or less,White
